legal_name,dba_name,city,latitude ,longitude
6429 SELMA HOSPITALITY LLC,1902 | NO VACANCY,LOS ANGELES,34.1028,-118.3324
6506 HOLLYWOOD ASSOCIATES LP,PLAYHOUSE HOLLYWOOD,LOS ANGELES,34.1015,-118.3312
6530 SUNSET BOULEVARD RESTAURANT LLC,,LOS ANGELES,34.0976,-118.3325
6611 HOLLYWOOD WHITLEY LLC,EAST,LOS ANGELES,34.1015,-118.3336
"6759 HOLLYWOOD ASSOCIATES, LLC",,LOS ANGELES,34.1015,-118.3375
678 INC,BAEK JEONG,LOS ANGELES,34.0635,-118.2969
6TH STREET PARTNERS LLC,MAMA LION,LOS ANGELES,34.0635,-118.3092
"7 FUSION USA, INC",7 FUSION,SHERMAN OAKS,34.1503,-118.4433
700 N SPRING ST INC,CBS SEAFOOD RESTAURANT,LOS ANGELES,34.06,-118.2375
701 TR LP,LOBSTA SHACK,LOS ANGELES,34.0606,-118.2438
71 ABOVE INC,71 ABOVE,LOS ANGELES,34.051,-118.2545
7213 SUNSET HOSPITALITY LLC,,LOS ANGELES,34.0979,-118.3475
7311 RESTAURANT GROUP LLC,ITA CHO,LOS ANGELES,34.0761,-118.3488
747 CIENEGA LLC,BELMONT,LOS ANGELES,34.085,-118.3764
755 TACOS LLC,,LOS ANGELES,34.0845,-118.3761
777 MARKET INC,777 MARKET & GRILL BURGER,LOS ANGELES,34.0403,-118.3475
778 INC,IHOP #778,WEST HILLS,34.1937,-118.6237
795 ENTERPRISES INC,IHOP # 0795,TUJUNGA,34.2451,-118.2737
800 DEGREES WESTWOOD LLC,,LOS ANGELES,34.0599,-118.4434
818 RESTAURANT VENTURES LLC,CLAUDINE ARTISAN KITCHEN & BAKESHOP,ENCINO,34.1568,-118.4893
8210 WS LLC,PELICANO,WEST HOLLYWOOD,34.0977,-118.3679
824 WILSHIRE LLC,,LOS ANGELES,34.0497,-118.2587
8265 BEVERLY LLC,NIC'S ON BEVERLY,LOS ANGELES,34.0762,-118.3696
"861 N. LA CIENEGA ASSOCIATES, LLC",BARTON G. RESTAURANT,LOS ANGELES,34.0868,-118.3764
88 HACHI HACHI CORPORATION,WASHOKU OF LA,STUDIO CITY,34.1429,-118.3919
888 CR LP,CHOW MEIN CHINESE RESTAURANT,LOS ANGELES,34.0606,-118.2438
8TH AND HOOVER EB5 LP,8XPRESS CHICKEN,LOS ANGELES,34.0577,-118.2855
"9 STONES, LLC",,LOS ANGELES,34.0976,-118.3334
908 BARRINGTON LLC,SOR TINO RISTORANTE,LOS ANGELES,34.0529,-118.4648
920 BAR AND GRILL INC,,LOS ANGELES,34.043,-118.2584
921 STREET INC,,LOS ANGELES,34.0597,-118.2904
923 INVESTMENTS LLC,THE FIX  BURGER,LOS ANGELES,34.1051,-118.2729
940 CAFE INC,,LOS ANGELES,34.0625,-118.447
950 GP LLC,GOLDEN PAGODA / HOP LOUIE,LOS ANGELES,34.0657,-118.2379
"9575 WEST PICO, LP",,LOS ANGELES,34.0551,-118.3975
998 S ROBERTSON CORPORATION,NATALEE THAI CUISINE,LOS ANGELES,34.0594,-118.3836
9E9 CORP,CHOP SHOP BUTCHER & GRILL,VAN NUYS,34.2083,-118.5088
9SIAM LLC,FUGUYA SUSHI,NORTH HOLLYWOOD,34.1871,-118.3708
A & B LIFESTYLE LLC,REDLINE,LOS ANGELES,34.045,-118.2496
A & H FOODS INC,A & H SHAWARMA,NORTHRIDGE,34.2242,-118.5355
A & I RESTAURANT INC,DELMONICO'S LOBSTER HOUSE,ENCINO,34.1571,-118.4892
A & M JOINT INC,SUBWAY # 1257,SHERMAN OAKS,34.1603,-118.4487
A & O PIZZA INC,BIG MAMA'S & PAPA'S PIZZERIA,VAN NUYS,34.2012,-118.4469
A C J ENTERPRISES INC,PANADERIA & PASTELERIA EL PAVO,LOS ANGELES,34.0187,-118.2063
A D H ENTERPRISES INC,WETMORE ROOFING CO,TORRANCE,33.8189,-118.2972
A DARNA IN THE KINERET LLC,,WOODLAND HILLS,34.1728,-118.5636
A J NOODLE INC,,GLENDALE,34.2223,-118.2491
A NAKANO GROUP INC,JOZU CONSULTING & CATERING,LOS ANGELES,34.0853,-118.3575
A S MUZIBUR RAHMAN,BASKIN ROBBINS #6440,GRANADA HILLS,34.2645,-118.5272
"A WON ENTERPRISES, INC.",A WON JAPANESE RESTAURANT,LOS ANGELES,34.0554,-118.292
"A. R. & E., INC",,LOS ANGELES,34.0552,-118.3939
A.S.A.  & FAMILY INC,MEATOLOGY MEDITERRANEAN GRILL,STUDIO CITY,34.1453,-118.3631
"A&B FOODS, HEALTH & HAPPINESS LLC",TANKA,LOS ANGELES,34.0822,-118.2872
A&JLA LLC,THE FRIEND,LOS ANGELES,34.1059,-118.2728
A&M ON THIRD LLC,THE DISTRICT,LOS ANGELES,34.0735,-118.3824
A3P LLC,TAWANNA THAI,LOS ANGELES,34.0632,-118.3641
AAA FAST FOODS INC,,SHERMAN OAKS,34.1531,-118.4642
AAA SUBWAY INVESTMENT GROUP INC,,LOS ANGELES,34.0301,-118.3351
AAKSHA ONE INC,SIZZLER #1238,CHATSWORTH,34.2575,-118.5813
AARON SEAFOOD INC,,LOS ANGELES,34.0639,-118.3672
"AARONIUS FOOD CO., INC.",THE TULIP CAFE,LOS ANGELES,34.0462,-118.2533
ABBEY WAIUSIMBI,JALIZ CUISINE OF EAST AFRICA,VAN NUYS,34.1906,-118.4541
ABBOT KINNEY GRILL LLC,AK RESTAURANT & BAR,VENICE,33.9897,-118.4634
ABC CATALAN CORPORATION,LAURA'S RESTAURANT,ARLETA,34.2342,-118.4404
"ABCD VALLEY, INC.",BCD TOFU HOUSE,RESEDA,34.2084,-118.5264
ABDUL Q AKHUNZADAH,TAWAKAL HALAL TANDOORI RESTAURANT,WEST HILLS,34.2193,-118.6229
ABDUL RUSHDI,COUNTRY STYLE CUISINE,RESEDA,34.2084,-118.533
ABDUR RAHIM,ROBINA'S INDIAN CUISINE,NORTH HOLLYWOOD,34.1721,-118.3693
"ABECUS, INC.",MORFIA'S RIBS & PIES,MARINA DEL REY,33.9886,-118.4464
ABEL ARAGON,FRATELLI PIZZA,LOS ANGELES,34.069,-118.293
ABELINA GARCIA,MI FLOR BLANCA RESTAURANT,LOS ANGELES,34.0348,-118.2834
ABEREY INC,LITTLE ONGPIN EAGLE ROCK,LOS ANGELES,34.1194,-118.228
ABK19 INC,AT BANGKOK,LOS ANGELES,34.1114,-118.2499
ABKJ ENTERPRISES LLC,,LOS ANGELES,34.0481,-118.2542
ABRAHAM M SANCHEZ,DELI MEX,SHERMAN OAKS,34.1648,-118.448
ACAG INC,DOMA KITCHEN,MARINA DEL REY,33.9786,-118.4393
ACE ACCESSORY INC,ACE ACCESSORY,LOS ANGELES,34.0351,-118.2581
ACE JY INC,ROCK N ROLL SUSHI,LOS ANGELES,34.0975,-118.3651
ACEPLUS INC,MONG KOREAN BBQ,LOS ANGELES,34.0734,-118.3088
ADAGIO RISTORANTE INC,,WOODLAND HILLS,34.1656,-118.6243
ADELAIDO FERNANDEZ,TAQUERIA LOS MISMOS,LOS ANGELES,33.9651,-118.2695
ADEM/AMRA SLIPAC,AROMA CAFE,LOS ANGELES,34.0399,-118.4233
ADIGE LLC,MUMA KITCHEN,LOS ANGELES,34.0476,-118.4348
ADMOND GHARIBIAN SAKI/ROMIK ABEDIYAN,SHAYAN EXPRESS RESTAURANT,LOS ANGELES,34.0379,-118.2527
ADOLFO MAGDARENO,ABEL'S TAQUERIA,TORRANCE,33.8226,-118.3088
ADRENALINE 321 LLC,R BAR,LOS ANGELES,34.0577,-118.3009
ADRIAN VOULGARIS,ADRIANS TRATTORIA,RESEDA,34.1938,-118.5188
ADRIANA E MORAN,LA ESPERANZA RESTAURANT,TORRANCE,33.8183,-118.3087
ADRIANA MEZA,JORGE'S MEXICAN FOOD,LOS ANGELES,34.0368,-118.2588
ADVANCED FRESH CONCEPTS CORP,AFC CORP,WEST HILLS,34.1887,-118.6426
AERINAH INC,SEOUL HOUSE OF TOFU,LOS ANGELES,34.0395,-118.4424
AF2 CHOCOLATIERS LLC,A F 2 CHOCOLATIERES,STUDIO CITY,34.15,-118.3855
AFFAIR LLC,,LOS ANGELES,34.0479,-118.4627
AFIF'S RESTAURANT INC,CARNIVAL RESTAURANT,SHERMAN OAKS,34.1492,-118.4312
AG OPERATIONS LLC,WINGS EMPIRE,LOS ANGELES,34.0299,-118.2919
AGI INVESTMENT LLC,KFC,LOS ANGELES,34.0526,-118.2947
AGO GRAND LLC,,LOS ANGELES,34.0542,-118.25
AGRA TANDOORI INC,AGRA TANDOORI INDIAN RESTAURANT,TARZANA,34.1727,-118.5586
AGRG GROUP INC,,TARZANA,34.1731,-118.5591
AGUA CHILES SUSHI BAR LLC,,NORTHRIDGE,34.2511,-118.5362
AGUSFUNK HOLLYWOOD INC,TIAGO COFFEE BAR & KITCHEN,LOS ANGELES,34.1015,-118.3443
AGUSTIN ENCINAS JR,XALISCO TACOS,SAN PEDRO,33.7308,-118.2876
AGUSTIN SOTO,EL RINCON MEXICANO,TUJUNGA,34.2479,-118.2849
AHAM TRADING CORP,JAVAN RESTAURANT,LOS ANGELES,34.0455,-118.4519
AHGASSI GOPCHANG LLC,AHGASSI GOPCHANG,LOS ANGELES,34.0635,-118.304
AHI MAHI ENTERPRISE LLC,TARE RAMEN YA,HOLLYWOOD,34.0982,-118.3111
AHI SUSHI CORP,,STUDIO CITY,34.1451,-118.4139
AIME ELIEZER OIKNINE,HATIKVA GRILL EXPRESS,SHERMAN OAKS,34.1718,-118.4396
AIRELOOM BAKERY INC.,,TOLUCA LAKE,34.1519,-118.3607
AJA INC,TOMMY'S OF WESTWOOD,LOS ANGELES,34.0627,-118.4483
AJAY INC,DREAMS DISCOTEQUE | THE SATELLITE,LOS ANGELES,34.0894,-118.2684
AJS MANAGEMENT LLC,VILLAGGIO DELI & RESTAURANT,VAN NUYS,34.1849,-118.4487
AJVK LLC,BANG NA THAI FUSION,LOS ANGELES,34.0588,-118.2385
AJWY CORPORATION,SANSAI JAPANESE GRILL,SHERMAN OAKS,34.1503,-118.445
AKA HOTELS LLC,,LOS ANGELES,34.1017,-118.3121
AKBAR DELUXE INC,AKBAR,LOS ANGELES,34.0957,-118.284
AKEEM J WONG,GYOZA BOYZ,LOS ANGELES,34.0439,-118.2528
AKI RESTAURANT INC,,LOS ANGELES,34.0453,-118.4523
AKIRA TANIGUCHI,AYA JAPANESE RESTAURANT,VAN NUYS,34.2012,-118.5173
AKM FAZLUL HAQUE,MR MASALA,LOS ANGELES,34.0457,-118.2634
AL BASCH INC,AL BASCH CHICKEN,LOS ANGELES,34.0981,-118.3494
AL CIEN INC,,WILMINGTON,33.7783,-118.262
AL LAYALI LLC,AL LAYALI CAFE,LOS ANGELES,34.0888,-118.3764
AL-MATT INC,MCDONALD'S RESTAURANT,LOS ANGELES,33.9746,-118.2829
ALAMEDA RESTAURANT LLC,BLUE J BAR & GRILL,LOS ANGELES,34.0448,-118.238
ALAN LEE LOVE,NICKS COFFEE SHOP EST 1946,LOS ANGELES,34.0533,-118.3761
ALAN M RUBY,MCDONALDS OF WILMINGTON,WILMINGTON,33.7913,-118.2599
ALAN MIRANDA ZARATE,MARLIN RESTAURANT,LOS ANGELES,33.9603,-118.3102
"ALARCO ENTERPRISES, INC",FARM TABLE CO.,VAN NUYS,34.183,-118.4492
ALATHEER GROUP INC,ALDEWANIA RESTAURANT,LOS ANGELES,34.0267,-118.272
ALBA L YOON,EL TORO Y LA LUNA,LOS ANGELES,34.0488,-118.333
ALBERT & BEATRICE CARREON,AL & BEA'S MEXICAN FOOD,LOS ANGELES,34.0453,-118.2146
ALBERT ARIAS AGUDELO,CUATRO CAMINOS RESTAURANT,LOS ANGELES,34.057,-118.2694
ALBERT DAVITYAN,,SUNLAND,34.2625,-118.3365
ALBERT HWANG,ORANGE TREE CAFE,LOS ANGELES,34.0635,-118.2979
ALBERT LOUSINIAN,SECRET RESTAURANT,LOS ANGELES,34.102,-118.3325
ALBERT NAZARI,KABOB TIME,LOS ANGELES,34.1179,-118.2477
ALBERT NAZARI,,NORTH HOLLYWOOD,34.1791,-118.3964
ALBERT POGHOSYAN,HI PIZZA ITALIAN KITCHEN,LOS ANGELES,34.0726,-118.3091
ALBERT QUAN TRAN,MISS DONUT,RESEDA,34.2011,-118.5301
ALBERTO HERNANDEZ/LUIS HERNANDEZ LADERA,EL GOLAZO RESTAURANT,LOS ANGELES,34.011,-118.2775
ALBERTO MELQUIADES MONTA?O / FLORENTINA ALVARADO,LOS COMPADRES,LOS ANGELES,34.0597,-118.2395
ALBERTO MELQUIADES MONTA?O / FLORENTINA ALVARADO,TAQUERIA AL PASTOR,LOS ANGELES,34.0908,-118.303
ALBY RESTAURANT GROUP INC,MANDARIN HOUSE,LOS ANGELES,34.0574,-118.2939
ALCO WABA INC,WABA GRILL,LOS ANGELES,34.0288,-118.2599
ALCOVE INC,ALCOVE CAFE & BAKERY,LOS ANGELES,34.1062,-118.2874
ALEJANDRA GARCIA,TOMMY'S CAFE,LOS ANGELES,34.0329,-118.2615
ALEJANDRINO SANCHEZ CRUZ / ANGELA CRUZ LOPEZ,RESTAURANT MAR AZUL SALVADORIAN & MEXICAN CUISINE,LOS ANGELES,34.0765,-118.2977
ALEJANDRO BAUTISTA GARCIA,LA BONITA RESTAURANT #2,LOS ANGELES,34.0908,-118.2955
ALEJANDRO GUZMAN,,CHATSWORTH,34.2578,-118.5808
ALEJANDRO HERNANDEZ MARTINEZ,AUTENTICO JEREZ MEXICAN GRILL,NORTH HOLLYWOOD,34.2022,-118.4107
ALEJANDRO L ALBERT,BARACOA CUBAN CAFE,LOS ANGELES,34.1174,-118.2615
ALEJANDRO MONTOYA GOMEZ CORPORATION,DON FELIX RESTAURANT,LOS ANGELES,34.0768,-118.2869
ALEJANDRO SANTOS,EL RANCHON,LOS ANGELES,34.0234,-118.3002
ALEJANDRO SUAREZ,CHURRO HUB CAFE,ARLETA,34.2342,-118.4401
ALEN KHACHIKYAN,2 GUYS KABOB,SUN VALLEY,34.2239,-118.3701
ALEX/HARILAOS SIAPKAS,LIGHTHOUSE DELI/CAFE,SAN PEDRO,33.7087,-118.2883
ALEXANDREA YUN YOO,ILGAA,LOS ANGELES,34.0733,-118.2864
ALEXIS GARCIA,LA COSINA RESTAURANT,SUN VALLEY,34.2362,-118.391
ALFONSO ALONSO MOO,MAYAS TACOS RESTAURANT,LOS ANGELES,34.0834,-118.2599
ALFONSO GARCIA LUJAN,PONCHOS RESTAURANT,WINNETKA,34.201,-118.5713
ALFREDO AVILA-AVILA,EL VAQUERO RESTAURANT,SYLMAR,34.3078,-118.45
ALFREDO G CARBAJAL,EL PRINCIPE,SAN PEDRO,33.7434,-118.2878
ALFREDO G RAMIREZ/MARIA M RAMIREZ,MARISCOS AGUA VERDE,WILMINGTON,33.7907,-118.2699
ALFREDO GUTIERREZ,HACIENDA GRILL,LOS ANGELES,33.9327,-118.2539
ALFREDO GUTIERREZ,HACIENDA GRILL,LOS ANGELES,33.9327,-118.2539
ALFREDO J JIMENEZ,PULGARCITO QUERIDO,PACOIMA,34.264,-118.4015
ALFREDO J JIMENEZ / FIDELIA JIMENEZ,PULGARCITO DEL VALLE,NORTH HOLLYWOOD,34.1936,-118.4061
ALFREDO JIMENEZ,PULGARCITO QUERIDO EN EL VALLE,PANORAMA CITY,34.2274,-118.4352
ALFREDO LOPEZ SOSA,,SUN VALLEY,34.2093,-118.3642
ALFREDO LORENZO,MEXSAL RESTAURANT,LOS ANGELES,33.9686,-118.2785
ALFREDO PADILLA,TACOS EL CONELO,PACOIMA,34.2796,-118.4179
ALIBABA EXPRESS MEDITERRANEAN GRILL INC,,NORTHRIDGE,34.24,-118.5545
ALICE G TAPP,TAMARA'S TAMALE,LOS ANGELES,33.9924,-118.4437
ALICIA L/JESUS VARGAS,LOS TRES COCHINITOS,LOS ANGELES,34.066,-118.2084
ALICIA M TABALON,TOTOS SEAFOOD GRILL ATBP,PANORAMA CITY,34.2215,-118.4479
ALICIA RAMIREZ HERRERA,MI LINDO MAYARIT,LOS ANGELES,33.9747,-118.2569
ALICIA RAMIREZ HERRERA,LINDO RINCON DE NAYARIT,LOS ANGELES,33.9688,-118.2564
ALIREZA SAEI,PATOGH PERSIAN RESTAURANT/ PATOGH CATERING,WOODLAND HILLS,34.1675,-118.5812
ALISAL VENTURES LLC,IHOP WESTCHESTER,LOS ANGELES,33.9597,-118.3961
ALL STAR PIZZA 8 LLC,ALL STAR PIZZA 8,LOS ANGELES,33.9889,-118.3293
ALLIANCE FOODS LLC,CORAL TREE CAFE,LOS ANGELES,34.0539,-118.4638
ALMA LETICIA VINDEL GOCHEZ,LA FAMILIA HAY SABOR,NORTHRIDGE,34.2211,-118.5373
ALMA VINDEL GOCHEZ,KAZOKU MEX,CHATSWORTH,34.2354,-118.5978
"ALMG INVESTMENTS, LLC",YUP DDUK LA,LOS ANGELES,34.0637,-118.3009
ALOHA POKE WEST COAST HOLDINGS LLC,ALOHA POKE CO,MARINA DEL REY,33.9901,-118.447
ALSHAM RESTAURANTS INC,TARBOOSH MIDDLE EAST KITCHEN,LOS ANGELES,34.0624,-118.2986
ALVARADO RESTAURANT GROUP LLC,TACO BELL #1178,LOS ANGELES,33.9852,-118.3304
ALVARO ESPINOZA BENAL,MARISCOS PUERTO ANGEL,VAN NUYS,34.201,-118.5001
ALVARO ESPINOZA BENAL,MARISCOS PUERTO ANGEL Y TIJUANA GRILL RESTAURANT,VAN NUYS,34.2085,-118.5013
AM BEST FOOD INC,GRIFFITH PARK CLUBHOUSE GRILL & EVENT CENTER,LOS ANGELES,34.1235,-118.2739
AM INDIAN KITCHEN LLC,AGRA INDIAN KITCHEN,VENICE,33.991,-118.4486
AMA 168 LP,BARAMA,LOS ANGELES,34.0486,-118.2479
AMA RESTAURANTS INC,DENNY'S #8722,LOS ANGELES,34.0616,-118.3078
AMADO I GIRON,TACOS EL CHATO,ROSEMEAD,34.0596,-118.0748
AMALFI ENTERTAINMENT GROUP LLC,,LOS ANGELES,34.0746,-118.344
AMALIAS KITCHEN INC,AMALIAS,LOS ANGELES,34.0762,-118.3009
AMALIAS KITCHEN LLC,RESTAURANTE AMALIAS,NORTH HOLLYWOOD,34.2011,-118.3835
AMANTE CORPORATION,CUORE DELL AMANTE,LOS ANGELES,34.0412,-118.2542
AMAR DESH INC,AMAR DESH INDIAN RESTAURANT,LOS ANGELES,34.0526,-118.2838
AMASEENA RESTAURANT AND LOUNGE INC,,GRANADA HILLS,34.2646,-118.5203
AMAZING THAI BAR & GRILL INC,,CHATSWORTH,34.2491,-118.5798
AMC HOSPITALITY LLC,CHICK-FIL-A AT NORTHRIDGE,NORTHRIDGE,34.2316,-118.5535
AMC HOSPITALITY LLC,CHICK-FIL-A DEVONSHIRE & RESEDA,NORTHRIDGE,34.2576,-118.5378
AMDA ENTERPRISES LLC,ZZAMONG,LOS ANGELES,34.0689,-118.3068
AMECI IN & OUT INC,,CANOGA PARK,34.19,-118.5905
AMECI IN & OUT INC,,WOODLAND HILLS,34.1561,-118.6058
AMELIA W LEE,POPEYES CHICKEN,LOS ANGELES,34.1427,-118.2281
"AMERICAN BEAUTY VENTURE, LLC",AMERICAN BEAUTY,VENICE,33.9981,-118.4745
AMERICAN FRIENDS OF AISH HATORAH-WESTERN REGION INC,AISH LA,LOS ANGELES,34.0543,-118.3899
AMERICAN HOSPITALITY,,LOS ANGELES,34.0777,-118.2598
AMERICAN LEGION POST 488,,LOS ANGELES,33.931,-118.2766
AMERICAN MEIZHOU DONGPO GROUP INC,MEIZHOU RESTAURANT,LOS ANGELES,34.0594,-118.4208
AMERICAN-THAI INVESTMENTS INC,THAI ORIGINAL BBQ RESTAURANT,CULVER CITY,34.0227,-118.3997
AMERICANA BUFFET AND GRILL,,LOS ANGELES,34.0114,-118.3363
AMERICO DE LA NUEZ/SONIA DE LA NUEZ,RESTAURANT LA PUPUSA LOCA,LOS ANGELES,34.0907,-118.3141
AMERIFIL LLC,LECHON DE MANILA,VAN NUYS,34.1942,-118.458
AMF BOWLING CENTERS INC,BOWLERO LOS ANGELES,LOS ANGELES,33.9587,-118.4182
AMI JAPANESE RESTAURANT INC,ASAHI SUSHI,GRANADA HILLS,34.2592,-118.5023
AMILCAR ADILIO DE LEON,PUPUSERIA MENCHITA,LOS ANGELES,34.0634,-118.2632
AMILCAR VARGAS,QUETZALTENANGO RESTAURANT,LOS ANGELES,34.0594,-118.2741
